R,R,R,R,W,W,W,W,W,LN,L,L,L,W,W,W,W,W,W,K,K,K,K
R,R,R,R,R,W,W,W,W,L,L,LD,L,W,W,W,W,W,W,K,KN,K,K
RN,R,R,R,R,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,K,K,K
R,R,R,R,R,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,K,K
R,R,R,RR,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,KL,K
W,R,R,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,K,K
W,R,R,W,W,W,W,W,W,X,X,X,X,X,X,X,X,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,X,X,X,X,X,X,X,X,W,W,W,W,H,H
W,W,W,W,W,W,W,W,W,X,X,X,X,X,X,X,X,W,W,W,HL,H,H
C,C,C,C,CU,C,W,W,W,X,X,X,X,X,X,X,X,W,W,W,W,H,H
C,CN,C,C,C,C,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,HN,H
C,C,C,C,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,H,H
C,C,C,C,W,W,W,W,W,S,S,S,S,S,S,S,S,S,SR,W,W,H,H
W,W,W,W,W,W,W,W,S,S,SN,S,S,S,S,S,S,S,S,W,W,H,H
W,W,W,W,W,W,W,W,S,S,S,S,S,S,S,S,S,S,W,W,W,W,W
B,B,B,B,B,B,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
B,B,B,B,B,B,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
BN,B,B,B,B,B,W,W,W,W,W,W,W,W,W,W,W,W,W,D,DU,D,D
B,B,B,B,BD,B,W,W,W,O,O,O,O,O,O,O,W,W,W,D,D,D,D
B,B,W,W,W,W,W,W,W,OL,O,O,O,O,O,O,W,W,W,DN,D,D,D
B,B,W,W,W,W,W,W,W,O,ON,O,O,O,O,O,W,W,W,D,D,D,D
B,B,W,W,W,W,W,W,W,O,O,O,O,O,O,O,W,W,W,D,D,D,D